Rank,CityName,StateName,StateCode,Population,Latitude,Longitude,GeonamePopulation,GeonameId
268,Pearland,Texas,TX,108821,29.56357,-95.28605,91252,4718097
269,Waterbury,Connecticut,CT,108802,41.55815,-73.0515,110366,4845193
270,West Covina,California,CA,108484,34.06862,-117.93895,106098,5407933
271,North Charleston,South Carolina,SC,108304,32.77657,-79.93092,120083,4574324
272,Everett,Washington,WA,108010,47.97898,-122.20208,103019,5793933
273,College Station,Texas,TX,107889,30.62798,-96.33441,93857,4682464
274,Palm Bay,Florida,FL,107888,28.03446,-80.58866,103190,4167499
275,Pompano Beach,Florida,FL,107762,26.23786,-80.12477,99845,4169014
276,Boulder,Colorado,CO,107349,40.01499,-105.27055,97385,5574991
277,Norwalk,California,CA,107140,33.90224,-118.08173,105549,5377995
278,West Palm Beach,Florida,FL,106779,26.71534,-80.05337,99919,4177887
279,Broken Arrow,Oklahoma,OK,106563,36.0526,-95.79082,98850,4531405
280,Daly City,California,CA,106562,37.70577,-122.46192,101123,5341430
281,Sandy Springs,Georgia,GA,105330,33.73119,-84.38324,5376285,6955109
282,Burbank,California,CA,105319,34.18084,-118.30897,103340,5331835
283,Green Bay,Wisconsin,WI,105207,44.51916,-88.01983,104057,5254962
284,Santa Maria,California,CA,105093,34.95303,-120.43572,99553,5393180
285,Wichita Falls,Texas,TX,104710,33.91371,-98.49339,104553,4741752
286,Lakeland,Florida,FL,104401,28.03947,-81.9498,97422,4161438
287,Clovis,California,CA,104180,36.82523,-119.70292,95631,5338122
288,Lewisville,Texas,TX,104039,33.04623,-96.99417,95290,4706057
289,Tyler,Texas,TX,103700,32.35126,-95.30106,96900,4738214
290,El Cajon,California,CA,103679,32.79477,-116.96253,99478,5345529
291,San Mateo,California,CA,103536,37.56299,-122.32553,97207,5392423
292,Rialto,California,CA,103132,34.1064,-117.37032,99171,5387288
293,Davenport,Iowa,IA,102582,41.52364,-90.57764,99685,4853423
294,Hillsboro,Oregon,OR,102347,45.52289,-122.98983,91611,5731371
295,Las Cruces,New Mexico,NM,101643,32.31232,-106.77834,97618,5475352
296,South Bend,Indiana,IN,101516,41.68338,-86.25001,101168,4926563
297,Vista,California,CA,100890,32.64005,-117.0842,243916,5336899
298,Greeley,Colorado,CO,100883,40.42331,-104.70913,92889,5577592
299,Davie,Florida,FL,100882,26.06287,-80.2331,91992,4152820
300,San Angelo,Texas,TX,100450,31.46377,-100.43704,93200,5530022
